repeat_id,outer_fold,model_fingerprint,selected_lambda_ratio,analysis_key
6,4,d7eec50c542f92d5e0941a4aaf78aa4615a379a41a580208c234b889dacf499e,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
6,5,aca48a72788b1b57a57c91c2b014935f001a4556dd2381168822fe384208d45d,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
7,1,86b8318221895c19a6af6346b1f26c929f63a430113c755c686b1b700fc0679a,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
7,2,4c33e0966f9d970b8aff8c03bc79da6d7999446e2da7b6e76dee40e068eb5243,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
7,3,5b5b710f35bf5e760116c33fbae390db83da917472dde7db796753a46c115146,0.150343041978733,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
7,4,ac9bcb1db93bdd316e94843d5321ba62e6cec5759ff3e39706cc790ee9120f39,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
7,5,4f1d6d007dbbf63db5c5d2147dac1b3016073039362d43d930c403ea3843adfb,0.331767112784286,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
8,1,105a66e44a6e8a8133e6873d9961c045433ae63a087ea7f82f8f8add5213db78,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
8,2,3458a9daae2fb80c8e0be2116676e4726ba6fb6307ce8a3082eaaaa96e63abe5,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
8,3,b35c1a7f73415fa63885c6248a67052cd871673d4b3aa352e474aea858301853,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
8,4,5ea4193fa444572a2dcce61cd85c49a3bf2c7b7d3a571735a9b2d44c4fa447a4,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
8,5,c57cab15cd4cf43765cb7bd8dff72e2b4e81a03170a8deebeb7be870ffcbeb1e,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
9,1,6d655114950d94bf5e0e9ec42c31dd1ccbd718d29086868fdbd6954c95b8fdc7,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
9,2,7102fdc41a1afeb012c9740a07c5b0b83445f7e8731a836104b70ca789ba151b,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
9,3,6a6b6589895f555165aa74efc1bbc3d633713a3338059837eac7a07e1ef23bae,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
9,4,1c7511b6ae0388caa52cb816e1beb030fb6440a6106a1d6059f3e607bb906538,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
9,5,418a223f8e98d193bf0934378b84b783eff12c6f5e1fabe232676aa1ab8c2a23,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
10,1,6a170d325f7fa5962c8366b994f115c5ecaeea95e2fbce97b7c4af996f58cb95,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
10,2,74a00c083170c54364a267640c783c448240c91c11664169026b51c3bdf3e1a5,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
10,3,43e041a5bffbde5baaaba16c945cd4344593723fb139577b71b72323f262a966,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
10,4,1484c879dec6b4e066381df659ea566d3575aeaf2a760651af7d72bae17138c1,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
10,5,7603bc7e3577038f58c572476ca16693f5fc1f8608258bffc2f1829aa591350d,0.562341325190349,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
