sample,inner_fold
GSM972274,3
GSM972275,5
GSM972276,2
GSM972277,3
GSM972278,4
GSM972279,2
GSM972280,2
GSM972281,5
GSM972282,2
GSM972283,3
GSM972284,4
GSM972285,3
GSM972286,2
GSM972287,4
GSM972288,2
GSM972289,4
GSM972290,3
GSM972291,2
GSM972292,4
GSM972293,4
GSM972294,3
GSM972295,2
GSM972296,3
GSM972297,5
GSM972298,2
GSM972299,2
GSM972300,2
GSM972301,5
GSM972302,2
GSM972303,1
GSM972304,2
GSM972305,4
GSM972306,3
GSM972307,5
GSM972308,1
GSM972309,1
GSM972310,5
GSM972311,1
GSM972312,3
GSM972313,4
GSM972314,3
GSM972315,4
GSM972316,3
GSM972317,5
GSM972318,2
GSM972319,2
GSM972320,4
GSM972321,3
GSM972322,4
GSM972323,3
GSM972324,5
GSM972325,4
GSM972326,2
GSM972327,4
GSM972328,2
GSM972329,3
GSM972330,1
GSM972331,5
GSM972332,3
GSM972333,3
GSM972334,5
GSM972335,1
GSM972336,5
GSM972337,3
GSM972338,5
GSM972339,3
GSM972340,3
GSM972341,1
GSM972342,5
GSM972343,1
GSM972344,3
GSM972345,1
GSM972346,5
GSM972347,1
GSM972348,3
GSM972349,2
GSM972350,1
GSM972351,1
GSM972352,2
GSM972353,1
GSM972354,1
GSM972355,3
GSM972356,2
GSM972357,2
GSM972358,5
GSM972359,2
GSM972360,4
GSM972361,4
GSM972362,5
GSM972363,2
GSM972364,1
GSM972365,4
GSM972366,2
GSM972367,2
GSM972368,4
GSM972369,5
GSM972370,4
GSM972371,5
GSM972372,4
GSM972373,5
GSM972374,5
GSM972375,4
GSM972376,1
GSM972377,2
GSM972378,1
GSM972379,2
GSM972380,3
GSM972381,4
GSM972382,5
GSM972383,1
GSM972384,2
GSM972385,4
GSM972386,4
GSM972387,2
GSM972388,1
GSM972389,2
GSM972390,3
GSM972391,1
GSM972392,2
GSM972393,1
GSM972394,4
GSM972395,1
GSM972396,2
GSM972397,3
GSM972398,1
GSM972399,2
GSM972400,5
GSM972402,1
GSM972403,5
GSM972404,1
GSM972405,5
GSM972406,1
GSM972407,2
GSM972408,5
GSM972409,4
GSM972410,5
GSM972411,1
GSM972412,4
GSM972413,3
GSM972414,1
GSM972415,3
GSM972416,2
GSM972417,1
GSM972418,3
GSM972419,1
GSM972420,1
GSM972421,2
GSM972422,4
GSM972423,2
GSM972424,2
GSM972425,1
GSM972426,5
GSM972427,2
GSM972428,2
GSM972429,2
GSM972430,1
GSM972431,3
GSM972432,5
GSM972433,3
GSM972434,1
GSM972435,1
GSM972436,2
GSM972437,5
GSM972438,2
GSM972439,5
GSM972440,3
GSM972441,4
GSM972442,5
GSM972443,2
GSM972444,4
GSM972445,2
GSM972447,5
GSM972449,1
GSM972450,3
GSM972451,5
GSM972452,5
GSM972453,1
GSM972454,1
GSM972455,1
GSM972457,5
GSM972458,1
GSM972459,3
GSM972460,3
GSM972461,4
GSM972462,2
GSM972463,3
GSM972464,5
GSM972465,1
GSM972466,5
GSM972467,1
GSM972468,5
GSM972469,1
GSM972470,1
GSM972472,5
GSM972473,4
GSM972474,1
GSM972475,3
GSM972476,4
GSM972477,3
GSM972478,5
GSM972479,1
GSM972480,3
GSM972481,2
GSM972482,3
GSM972483,2
GSM972484,3
GSM972485,1
GSM972486,3
GSM972487,3
GSM972488,5
GSM972489,4
GSM972490,2
GSM972491,1
GSM972492,4
GSM972493,4
GSM972494,4
GSM972495,3
GSM972496,1
GSM972497,4
GSM972498,1
GSM972499,5
GSM972501,1
GSM972502,4
GSM972503,5
GSM972504,1
GSM972505,2
GSM972506,5
GSM972507,5
GSM972508,5
GSM972509,1
GSM972510,2
GSM972511,4
GSM972512,5
GSM972513,4
GSM972514,1
GSM972515,4
GSM972516,4
GSM972517,4
GSM972518,1
GSM972519,1
GSM972520,3
GSM972521,4
GSM972522,4
GSM1681353,1
GSM1681354,1
GSM1681355,5
GSM1681356,4
GSM1681357,2
GSM1681359,2
GSM1681360,2
GSM1681361,3
GSM1681362,2
GSM1681363,5
GSM1681364,5
GSM1681365,5
GSM1681367,1
GSM1681368,2
GSM1681369,1
GSM1681370,1
GSM1681371,5
